Community,Source,Year,Families,PCT,Poverty
Geneva,https://factfinder.census.gov/bkmk/table/1.0/en/ACS/17_5YR/DP03/0400000US36|0500000US36069|0600000US3606928640|0600000US3606928651,2010,2636,15.8,416
Ontario wo Geneva,Data above,2017,26056,5.5,1439
Ontario wo Geneva,Data above,2016,26098,5.8,1524
Ontario wo Geneva,Data above,2015,26536,5.6,1495
Ontario wo Geneva,Data above,2014,26150,5.6,1460
Ontario wo Geneva,Data above,2013,26405,5,1319
Ontario wo Geneva,Data above,2012,26222,5.1,1331
Ontario wo Geneva,Data above,2011,25923,5,1304
Ontario wo Geneva,Data above,2010,25656,4.8,1225
Geneva,https://data.census.gov/cedsci/table?q=&d=ACS%205-Year%20Estimates%20Data%20Profiles&table=DP03&tid=ACSDP5Y2018.DP03&g=0400000US36_1600000US3628640&lastDisplayedRow=112&hidePreview=true&moe=false,2018,2428,16.4,398
Ontario,https://data.census.gov/cedsci/table?q=&d=ACS%205-Year%20Estimates%20Data%20Profiles&table=DP03&tid=ACSDP5Y2018.DP03&g=0400000US36_0500000US36069&lastDisplayedRow=144&hidePreview=true&moe=false,2018,28051,6.6,1851
Ontario wo Geneva,Data above,2018,25623,5.7,1453
NYS,https://data.census.gov/cedsci/table?q=&d=ACS%205-Year%20Estimates%20Data%20Profiles&table=DP03&tid=ACSDP5Y2018.DP03&g=0400000US36_1600000US3628640&lastDisplayedRow=112&hidePreview=true&moe=false,2018,4634204,10.9,505128
Geneva,https://data.census.gov/cedsci/table?g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2019.DP03&moe=false&hidePreview=false,2019,2441,14,342
Ontario,https://data.census.gov/cedsci/table?g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2019.DP03&moe=false&hidePreview=false,2019,28394,5.7,1618
Ontario wo Geneva,Data above,2019,25953,4.9,1276
NYS,https://data.census.gov/cedsci/table?g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2019.DP03&moe=false&hidePreview=false,2019,4632289,10.4,481758
Geneva,https://data.census.gov/cedsci/table?g=0400000US36_0500000US36069_1600000US3628640&d=ACS%205-Year%20Estimates%20Data%20Profiles&tid=ACSDP5Y2020.DP03&moe=false,2020,2496,11.4,285
