District,County,ELA rank,% proficient ELA,Math rank,% proficient math
NORWOOD-NORFOLK CSD,Saint Lawrence,515,32%,496,21%
HOOSICK FALLS CSD,Rensselaer,536,31%,N/A,N/A
PERRY CSD,Wyoming,536,31%,367,32%
GREECE CSD,Monroe,536,31%,396,29%
COPIAGUE UFSD,Suffolk,536,31%,414,28%
HERKIMER CSD,Herkimer,536,31%,414,28%
JAMESTOWN CITY SD,Chautauqua,536,31%,452,25%
NEWARK VALLEY CSD,Tioga,536,31%,452,25%
PORT CHESTER-RYE UFSD,Westchester,536,31%,452,25%
WARRENSBURG CSD,Warren,536,31%,463,24%
FULTON CITY SD,Oswego,536,31%,480,22%
HORNELL CITY SD,Steuben,536,31%,480,22%
JOHNSON CITY CSD,Broome,536,31%,480,22%
ST REGIS FALLS CSD,Franklin,536,31%,511,18%
LAFAYETTE CSD,Onondaga,549,30%,N/A,N/A
ROOSEVELT UFSD,Nassau,549,30%,N/A,N/A
TROY CITY SD,Rensselaer,549,30%,N/A,N/A
HAMPTON BAYS UFSD,Suffolk,549,30%,299,37%
LETCHWORTH CSD,Wyoming,549,30%,323,35%
SODUS CSD,Wayne,549,30%,396,29%
FRANKFORT-SCHUYLER CSD,Herkimer,549,30%,439,26%
EDWARDS-KNOX CSD,Saint Lawrence,549,30%,508,19%
HUDSON CITY SD,Columbia,549,30%,516,17%
MT MORRIS CSD,Livingston,558,29%,N/A,N/A
PULASKI CSD,Oswego,558,29%,263,39%
DRYDEN CSD,Tompkins,558,29%,353,33%
BATH CSD,Steuben,558,29%,367,32%
EAST IRONDEQUOIT CSD,Monroe,558,29%,396,29%
CHERRY VALLEY-SPRINGFIELD CSD,Otsego,558,29%,414,28%
PALMYRA-MACEDON CSD,Wayne,558,29%,432,27%
PATCHOGUE-MEDFORD UFSD,Suffolk,558,29%,439,26%
DUNDEE CSD,Yates,558,29%,452,25%
UTICA CITY SD,Oneida,558,29%,452,25%
NEWARK CSD,Wayne,558,29%,503,20%
GOUVERNEUR CSD,Saint Lawrence,558,29%,511,18%
WYANDANCH UFSD,Suffolk,558,29%,511,18%
ONEIDA CITY SD,Madison,571,28%,N/A,N/A
PHOENIX CSD,Oswego,571,28%,263,39%
GREENVILLE CSD,Greene,571,28%,323,35%
TICONDEROGA CSD,Essex,571,28%,396,29%
BRUSHTON-MOIRA CSD,Franklin,571,28%,463,24%
NORWICH CITY SD,Chenango,571,28%,463,24%
AVOCA CSD,Steuben,571,28%,472,23%
ROSCOE CSD,Sullivan,571,28%,472,23%
WALTON CSD,Delaware,571,28%,472,23%
CENTRAL ISLIP UFSD,Suffolk,571,28%,480,22%
PHELPS-CLIFTON SPRINGS CSD,Ontario,571,28%,480,22%
RIVERHEAD CSD,Suffolk,571,28%,480,22%
AFTON CSD,Chenango,583,27%,N/A,N/A
DUNKIRK CITY SD,Chautauqua,583,27%,N/A,N/A
HEMPSTEAD UFSD,Nassau,583,27%,N/A,N/A
DEPEW UFSD,Erie,583,27%,323,35%
MEXICO CSD,Oswego,583,27%,396,29%
HANNIBAL CSD,Oswego,583,27%,472,23%
ALBANY CITY SD,Albany,583,27%,496,21%
LIBERTY CSD,Sullivan,583,27%,521,16%
AUBURN CITY SD,Cayuga,591,26%,414,28%
NORTHEAST CSD,Dutchess,591,26%,432,27%
SOUTH COUNTRY CSD,Suffolk,591,26%,432,27%
SOLVAY UFSD,Onondaga,591,26%,439,26%
BRENTWOOD UFSD,Suffolk,591,26%,480,22%
NIAGARA FALLS CITY SD,Niagara,591,26%,480,22%
PEEKSKILL CITY SD,Westchester,591,26%,480,22%
NORTH ROSE-WOLCOTT CSD,Wayne,591,26%,508,19%
ADDISON CSD,Steuben,591,26%,511,18%
WATERVLIET CITY SD,Albany,591,26%,521,16%
RENSSELAER CITY SD,Rensselaer,591,26%,528,14%
CANDOR CSD,Tioga,602,25%,388,30%
CANASTOTA CSD,Madison,602,25%,396,29%
ELLENVILLE CSD,Ulster,602,25%,503,20%
OTSELIC VALLEY CSD,Chenango,602,25%,516,17%
MONTICELLO CSD,Sullivan,602,25%,526,15%
SALMON RIVER CSD,Franklin,602,25%,535,12%
BINGHAMTON CITY SD,Broome,608,24%,N/A,N/A
SOUTH KORTRIGHT CSD,Delaware,608,24%,463,24%
GILBERTSVILLE-MOUNT UPTON CSD,Otsego,608,24%,480,22%
BUFFALO CITY SD,Erie,608,24%,521,16%
CHEEKTOWAGA CSD,Erie,608,24%,528,14%
GLOVERSVILLE CITY SD,Fulton,608,24%,533,13%
ALTMAR-PARISH-WILLIAMSTOWN CSD,Oswego,614,23%,N/A,N/A
GENEVA CITY SD,Ontario,614,23%,N/A,N/A
WATERLOO CSD,Seneca,614,23%,396,29%
AMITYVILLE UFSD,Suffolk,614,23%,472,23%
GREENPORT UFSD,Suffolk,614,23%,472,23%
BROOKFIELD CSD,Madison,614,23%,480,22%
SALAMANCA CITY SD,Cattaraugus,614,23%,480,22%
ROME CITY SD,Oneida,614,23%,496,21%
TUPPER LAKE CSD,Franklin,614,23%,516,17%
BROCTON CSD,Chautauqua,614,23%,521,16%
MADISON CSD,Madison,624,22%,N/A,N/A
ELMIRA CITY SD,Chemung,624,22%,516,17%
AMSTERDAM CITY SD,Montgomery,624,22%,528,14%
LANSINGBURGH CSD,Rensselaer,624,22%,528,14%
LYONS CSD,Wayne,624,22%,528,14%
POUGHKEEPSIE CITY SD,Dutchess,624,22%,540,10%
HARPURSVILLE CSD,Broome,630,21%,463,24%
MALONE CSD,Franklin,630,21%,496,21%
WORCESTER CSD,Otsego,630,21%,503,20%
NEWFIELD CSD,Tompkins,630,21%,526,15%
UNADILLA VALLEY CSD,Chenango,630,21%,533,13%
SCHENECTADY CITY SD,Schenectady,630,21%,535,12%
SOUTH SENECA CSD,Seneca,636,20%,452,25%
STAMFORD CSD,Delaware,636,20%,463,24%
MILFORD CSD,Otsego,638,19%,480,22%
GILBOA-CONESVILLE CSD,Schoharie,638,19%,508,19%
FALLSBURG CSD,Sullivan,638,19%,521,16%
CLYDE-SAVANNAH CSD,Wayne,638,19%,538,11%
MINERVA CSD,Essex,642,18%,N/A,N/A
SCHENEVUS CSD,Otsego,642,18%,414,28%
LACKAWANNA CITY SD,Erie,644,17%,535,12%
SYRACUSE CITY SD,Onondaga,644,17%,538,11%
GREEN ISLAND UFSD,Albany,646,14%,541,9%
ROCHESTER CITY SD,Monroe,647,13%,N/A,N/A
DOLGEVILLE CSD,Herkimer,647,13%,503,20%
