"Year","Table","County","Birth Weight in Grams","Number of Live Births"
"2022","11a","Erie","1000-1499","71"
"2022","11a","Erie","Under 1000","57"
"2022","11a","Essex","Total","263"
"2022","11a","Essex","Under 1000","1"
"2022","11a","Essex","1000-1499","7"
"2022","11a","Essex","1500-1999","4"
"2022","11a","Essex","2000-2499","13"
"2022","11a","Essex","2500-2999","45"
"2022","11a","Essex","3000-3499","86"
"2022","11a","Essex","3500+","101"
"2022","11a","Essex","Unknown","6"
"2022","11a","Franklin","3000-3499","167"
"2022","11a","Franklin","Total","441"
"2022","11a","Franklin","Under 1000","1"
"2022","11a","Franklin","1000-1499","0"
"2022","11a","Franklin","1500-1999","4"
"2022","11a","Franklin","2000-2499","23"
"2022","11a","Franklin","2500-2999","53"
"2022","11a","Franklin","3500+","188"
"2022","11a","Franklin","Unknown","5"
"2022","11a","Fulton","Under 1000","6"
"2022","11a","Fulton","Total","507"
"2022","11a","Fulton","1000-1499","3"
"2022","11a","Fulton","1500-1999","8"
"2022","11a","Fulton","2000-2499","33"
"2022","11a","Fulton","2500-2999","95"
"2022","11a","Fulton","3000-3499","190"
"2022","11a","Fulton","3500+","171"
"2022","11a","Fulton","Unknown","1"
"2022","11a","Genesee","Total","553"
"2022","11a","Genesee","1000-1499","4"
"2022","11a","Genesee","Under 1000","2"
"2022","11a","Genesee","1500-1999","11"
"2022","11a","Genesee","2000-2499","26"
"2022","11a","Genesee","2500-2999","84"
"2022","11a","Genesee","3000-3499","208"
"2022","11a","Genesee","3500+","218"
"2022","11a","Genesee","Unknown","0"
"2022","11a","Greene","3500+","142"
"2022","11a","Greene","Total","379"
"2022","11a","Greene","Under 1000","2"
"2022","11a","Greene","1000-1499","3"
"2022","11a","Greene","1500-1999","6"
"2022","11a","Greene","2000-2499","16"
"2022","11a","Greene","2500-2999","58"
"2022","11a","Greene","3000-3499","151"
"2022","11a","Greene","Unknown","1"
"2022","11a","Hamilton","3500+","8"
"2022","11a","Hamilton","3000-3499","12"
"2022","11a","Hamilton","2500-2999","3"
"2022","11a","Hamilton","2000-2499","1"
"2022","11a","Hamilton","1500-1999","0"
"2022","11a","Hamilton","1000-1499","0"
"2022","11a","Hamilton","Under 1000","0"
"2022","11a","Hamilton","Unknown","0"
"2022","11a","Hamilton","Total","24"
"2022","11a","Herkimer","Unknown","3"
"2022","11a","Herkimer","3500+","225"
"2022","11a","Herkimer","3000-3499","219"
"2022","11a","Herkimer","2500-2999","99"
"2022","11a","Herkimer","2000-2499","30"
"2022","11a","Herkimer","1500-1999","7"
"2022","11a","Herkimer","1000-1499","4"
"2022","11a","Herkimer","Under 1000","4"
"2022","11a","Herkimer","Total","591"
"2022","11a","Jefferson","Total","1,759"
"2022","11a","Jefferson","Unknown","4"
"2022","11a","Jefferson","3500+","608"
"2022","11a","Jefferson","3000-3499","703"
"2022","11a","Jefferson","2500-2999","293"
"2022","11a","Jefferson","2000-2499","95"
"2022","11a","Jefferson","1500-1999","24"
"2022","11a","Jefferson","1000-1499","17"
"2022","11a","Jefferson","Under 1000","15"
"2022","11a","Kings","Total","33,383"
"2022","11a","Kings","Unknown","6"
"2022","11a","Kings","3500+","10,160"
"2022","11a","Kings","3000-3499","13,576"
"2022","11a","Kings","2500-2999","6,994"
"2022","11a","Kings","2000-2499","1,766"
"2022","11a","Kings","1500-1999","521"
"2022","11a","Kings","1000-1499","203"
"2022","11a","Kings","Under 1000","157"
"2022","11a","Lewis","Unknown","2"
"2022","11a","Lewis","Total","311"
"2022","11a","Lewis","Under 1000","2"
"2022","11a","Lewis","1000-1499","3"
"2022","11a","Lewis","1500-1999","5"
"2022","11a","Lewis","2000-2499","17"
"2022","11a","Lewis","2500-2999","47"
"2022","11a","Lewis","3000-3499","111"
"2022","11a","Lewis","3500+","124"
"2022","11a","Livingston","1000-1499","2"
"2022","11a","Livingston","Total","518"
"2022","11a","Livingston","Under 1000","3"
"2022","11a","Livingston","1500-1999","8"
"2022","11a","Livingston","2000-2499","22"
"2022","11a","Livingston","2500-2999","77"
"2022","11a","Livingston","3000-3499","194"
"2022","11a","Livingston","3500+","205"
"2022","11a","Livingston","Unknown","7"
"2022","11a","Madison","Unknown","6"
"2022","11a","Madison","Total","574"
"2022","11a","Madison","Under 1000","0"
"2022","11a","Madison","1000-1499","1"
"2022","11a","Madison","1500-1999","2"
"2022","11a","Madison","2000-2499","45"
"2022","11a","Madison","2500-2999","84"
"2022","11a","Madison","3000-3499","221"
"2022","11a","Madison","3500+","215"
"2022","11a","Monroe","3500+","2,556"
"2022","11a","Monroe","Total","7,437"
"2022","11a","Monroe","Under 1000","80"
"2022","11a","Monroe","1000-1499","57"
"2022","11a","Monroe","1500-1999","128"
"2022","11a","Monroe","2000-2499","462"
"2022","11a","Monroe","2500-2999","1,411"
"2022","11a","Monroe","3000-3499","2,741"
"2022","11a","Monroe","Unknown","2"
"2022","11a","Montgomery","3000-3499","224"
"2022","11a","Montgomery","Total","611"
"2022","11a","Montgomery","Under 1000","4"
"2022","11a","Montgomery","Unknown","46"
"2022","11a","Montgomery","1000-1499","4"
"2022","11a","Montgomery","1500-1999","3"
"2022","11a","Montgomery","2000-2499","27"
"2022","11a","Montgomery","2500-2999","92"
"2022","11a","Montgomery","3500+","211"
"2022","11a","Nassau","2500-2999","2,822"
"2022","11a","Nassau","Unknown","5"
"2022","11a","Nassau","3500+","4,307"
"2022","11a","Nassau","3000-3499","5,456"
"2022","11a","Nassau","2000-2499","762"
"2022","11a","Nassau","1500-1999","248"
"2022","11a","Nassau","1000-1499","88"
"2022","11a","Nassau","Under 1000","59"
"2022","11a","Nassau","Total","13,747"
"2022","11a","New York","Under 1000","68"
"2022","11a","New York","1000-1499","96"
"2022","11a","New York","1500-1999","210"
"2022","11a","New York","2000-2499","800"
"2022","11a","New York","2500-2999","2,927"
"2022","11a","New York","Unknown","2"
"2022","11a","New York","3000-3499","5,378"
"2022","11a","New York","3500+","3,717"
"2022","11a","New York","Total","13,198"
"2022","11a","New York City","3500+","26,261"
"2022","11a","New York City","Total","92,094"
"2022","11a","New York City","Under 1000","537"
"2022","11a","New York City","1000-1499","684"
"2022","11a","New York City","1500-1999","1,576"
"2022","11a","New York City","2000-2499","5,551"
"2022","11a","New York City","2500-2999","20,244"
"2022","11a","New York City","3000-3499","37,223"
"2022","11a","New York City","Unknown","18"
"2022","11a","New York State","3000-3499","81,118"
"2022","11a","New York State","2500-2999","41,528"
"2022","11a","New York State","2000-2499","11,579"
"2022","11a","New York State","1500-1999","3,397"
"2022","11a","New York State","1000-1499","1,493"
"2022","11a","New York State","Under 1000","1,183"
"2022","11a","New York State","Total","206,812"
"2022","11a","New York State","Unknown","447"
"2022","11a","New York State","3500+","66,067"
"2022","11a","Niagara","2500-2999","364"
"2022","11a","Niagara","Total","1,961"
"2022","11a","Niagara","Under 1000","11"
"2022","11a","Niagara","1000-1499","13"
"2022","11a","Niagara","1500-1999","40"
"2022","11a","Niagara","2000-2499","118"
"2022","11a","Niagara","3000-3499","727"
"2022","11a","Niagara","3500+","686"
"2022","11a","Niagara","Unknown","2"
"2022","11a","Oneida","Total","2,185"
"2022","11a","Oneida","Unknown","8"
"2022","11a","Oneida","3500+","683"
"2022","11a","Oneida","3000-3499","877"
"2022","11a","Oneida","2500-2999","418"
"2022","11a","Oneida","2000-2499","133"
"2022","11a","Oneida","1500-1999","43"
"2022","11a","Oneida","1000-1499","13"
"2022","11a","Oneida","Under 1000","10"
"2022","11a","Onondaga","Unknown","0"
"2022","11a","Onondaga","3500+","1,676"
"2022","11a","Onondaga","3000-3499","1,683"
"2022","11a","Onondaga","2500-2999","825"
"2022","11a","Onondaga","2000-2499","274"
"2022","11a","Onondaga","1500-1999","85"
"2022","11a","Onondaga","1000-1499","48"
"2022","11a","Onondaga","Under 1000","36"
"2022","11a","Onondaga","Total","4,627"
"2022","11a","Ontario","Total","1,016"
"2022","11a","Ontario","Unknown","2"
"2022","11a","Ontario","3500+","416"
"2022","11a","Ontario","3000-3499","360"
"2022","11a","Ontario","2500-2999","170"
"2022","11a","Ontario","2000-2499","42"
"2022","11a","Ontario","1500-1999","8"
"2022","11a","Ontario","1000-1499","6"
"2022","11a","Ontario","Under 1000","12"
"2022","11a","Orange","Total","5,443"
"2022","11a","Orange","Under 1000","25"
"2022","11a","Orange","1000-1499","53"
"2022","11a","Orange","1500-1999","69"
"2022","11a","Orange","2000-2499","258"
"2022","11a","Orange","2500-2999","911"
"2022","11a","Orange","3000-3499","2,207"
"2022","11a","Orange","3500+","1,913"
"2022","11a","Orange","Unknown","7"
"2022","11a","Orleans","Total","376"
"2022","11a","Orleans","Under 1000","1"
"2022","11a","Orleans","1000-1499","4"
"2022","11a","Orleans","1500-1999","4"
"2022","11a","Orleans","2000-2499","22"
"2022","11a","Orleans","2500-2999","62"
"2022","11a","Orleans","3000-3499","137"
"2022","11a","Orleans","3500+","146"
"2022","11a","Orleans","Unknown","0"
"2022","11a","Oswego","Total","1,110"
"2022","11a","Oswego","Under 1000","6"
"2022","11a","Oswego","1000-1499","11"
"2022","11a","Oswego","1500-1999","16"
"2022","11a","Oswego","2000-2499","77"
"2022","11a","Oswego","2500-2999","177"
"2022","11a","Oswego","3000-3499","378"
"2022","11a","Oswego","3500+","433"
"2022","11a","Oswego","Unknown","12"
"2022","11a","Otsego","Total","458"
"2022","11a","Otsego","Under 1000","1"
"2022","11a","Otsego","1000-1499","2"
"2022","11a","Otsego","1500-1999","2"
"2022","11a","Otsego","2000-2499","16"
"2022","11a","Otsego","2500-2999","74"
"2022","11a","Otsego","3000-3499","154"
"2022","11a","Otsego","3500+","202"
"2022","11a","Otsego","Unknown","7"
"2022","11a","Putnam","Total","909"
"2022","11a","Putnam","Under 1000","2"
"2022","11a","Putnam","1000-1499","4"
"2022","11a","Putnam","1500-1999","19"
"2022","11a","Putnam","2000-2499","35"
"2022","11a","Putnam","2500-2999","130"
"2022","11a","Putnam","3000-3499","358"
"2022","11a","Putnam","3500+","360"
"2022","11a","Putnam","Unknown","1"
"2022","11a","Queens","Total","23,877"
"2022","11a","Queens","Under 1000","141"
"2022","11a","Queens","1000-1499","190"
"2022","11a","Queens","1500-1999","421"
"2022","11a","Queens","2000-2499","1,553"
"2022","11a","Queens","2500-2999","5,473"
"2022","11a","Queens","3000-3499","9,618"
"2022","11a","Queens","3500+","6,475"
"2022","11a","Queens","Unknown","6"
"2022","11a","Rensselaer","Total","1,483"
"2022","11a","Rensselaer","Under 1000","10"
"2022","11a","Rensselaer","1000-1499","6"
"2022","11a","Rensselaer","1500-1999","22"
"2022","11a","Rensselaer","2000-2499","74"
"2022","11a","Rensselaer","2500-2999","287"
"2022","11a","Rensselaer","3000-3499","540"
