"Year","Table","County","Birth Weight in Grams","Number of Live Births"
"2019","11a","Otsego","2500-2999","57"
"2019","11a","Otsego","2000-2499","9"
"2019","11a","Otsego","1500-1999","8"
"2019","11a","Otsego","Under 1000","2"
"2019","11a","Putnam","Total","797"
"2019","11a","Putnam","Unknown","0"
"2019","11a","Putnam","3500+","278"
"2019","11a","Putnam","3000-3499","313"
"2019","11a","Putnam","2500-2999","162"
"2019","11a","Putnam","2000-2499","27"
"2019","11a","Putnam","1500-1999","9"
"2019","11a","Putnam","1000-1499","6"
"2019","11a","Putnam","Under 1000","2"
"2019","11a","Queens","1000-1499","206"
"2019","11a","Queens","1500-1999","485"
"2019","11a","Queens","2000-2499","1,550"
"2019","11a","Queens","2500-2999","5,817"
"2019","11a","Queens","3000-3499","10,751"
"2019","11a","Queens","3500+","7,898"
"2019","11a","Queens","Unknown","1"
"2019","11a","Queens","Total","26,850"
"2019","11a","Queens","Under 1000","142"
"2019","11a","Rensselaer","Unknown","0"
"2019","11a","Rensselaer","Under 1000","12"
"2019","11a","Rensselaer","1000-1499","11"
"2019","11a","Rensselaer","1500-1999","44"
"2019","11a","Rensselaer","2000-2499","90"
"2019","11a","Rensselaer","2500-2999","266"
"2019","11a","Rensselaer","3000-3499","592"
"2019","11a","Rensselaer","3500+","591"
"2019","11a","Rensselaer","Total","1,606"
"2019","11a","Rest of State","2500-2999","20,633"
"2019","11a","Rest of State","Unknown","382"
"2019","11a","Rest of State","3500+","42,163"
"2019","11a","Rest of State","3000-3499","44,117"
"2019","11a","Rest of State","2000-2499","5,632"
"2019","11a","Rest of State","1500-1999","1,794"
"2019","11a","Rest of State","1000-1499","816"
"2019","11a","Rest of State","Under 1000","705"
"2019","11a","Rest of State","Total","116,242"
"2019","11a","Richmond","3500+","1,642"
"2019","11a","Richmond","3000-3499","2,116"
"2019","11a","Richmond","2500-2999","1,050"
"2019","11a","Richmond","2000-2499","243"
"2019","11a","Richmond","1500-1999","63"
"2019","11a","Richmond","1000-1499","42"
"2019","11a","Richmond","Under 1000","37"
"2019","11a","Richmond","Total","5,193"
"2019","11a","Richmond","Unknown","0"
"2019","11a","Rockland","3000-3499","2,284"
"2019","11a","Rockland","2500-2999","972"
"2019","11a","Rockland","Unknown","1"
"2019","11a","Rockland","2000-2499","207"
"2019","11a","Rockland","1500-1999","55"
"2019","11a","Rockland","1000-1499","33"
"2019","11a","Rockland","Under 1000","25"
"2019","11a","Rockland","Total","5,721"
"2019","11a","Rockland","3500+","2,144"
"2019","11a","Saratoga","3500+","882"
"2019","11a","Saratoga","2500-2999","305"
"2019","11a","Saratoga","2000-2499","71"
"2019","11a","Saratoga","1500-1999","34"
"2019","11a","Saratoga","1000-1499","17"
"2019","11a","Saratoga","Under 1000","6"
"2019","11a","Saratoga","Total","2,052"
"2019","11a","Saratoga","Unknown","3"
"2019","11a","Saratoga","3000-3499","734"
"2019","11a","Schenectady","Under 1000","13"
"2019","11a","Schenectady","1000-1499","15"
"2019","11a","Schenectady","1500-1999","33"
"2019","11a","Schenectady","2000-2499","88"
"2019","11a","Schenectady","2500-2999","367"
"2019","11a","Schenectady","3000-3499","597"
"2019","11a","Schenectady","3500+","605"
"2019","11a","Schenectady","Unknown","3"
"2019","11a","Schenectady","Total","1,721"
"2019","11a","Schoharie","1000-1499","1"
"2019","11a","Schoharie","1500-1999","4"
"2019","11a","Schoharie","2000-2499","8"
"2019","11a","Schoharie","2500-2999","41"
"2019","11a","Schoharie","3000-3499","92"
"2019","11a","Schoharie","3500+","99"
"2019","11a","Schoharie","Unknown","1"
"2019","11a","Schoharie","Total","246"
"2019","11a","Schoharie","Under 1000","0"
"2019","11a","Schuyler","3000-3499","55"
"2019","11a","Schuyler","2500-2999","27"
"2019","11a","Schuyler","2000-2499","4"
"2019","11a","Schuyler","1500-1999","0"
"2019","11a","Schuyler","1000-1499","0"
"2019","11a","Schuyler","Total","166"
"2019","11a","Schuyler","Under 1000","2"
"2019","11a","Schuyler","Unknown","1"
"2019","11a","Schuyler","3500+","77"
"2019","11a","Seneca","3000-3499","142"
"2019","11a","Seneca","2500-2999","51"
"2019","11a","Seneca","2000-2499","13"
"2019","11a","Seneca","1500-1999","8"
"2019","11a","Seneca","1000-1499","5"
"2019","11a","Seneca","Under 1000","4"
"2019","11a","Seneca","Total","363"
"2019","11a","Seneca","Unknown","3"
"2019","11a","Seneca","3500+","137"
"2019","11a","Steuben","Under 1000","2"
"2019","11a","Steuben","Total","1,036"
"2019","11a","Steuben","1000-1499","7"
"2019","11a","Steuben","1500-1999","21"
"2019","11a","Steuben","2000-2499","51"
"2019","11a","Steuben","2500-2999","155"
"2019","11a","Steuben","3000-3499","381"
"2019","11a","Steuben","3500+","416"
"2019","11a","Steuben","Unknown","3"
"2019","11a","St Lawrence","3000-3499","324"
"2019","11a","St Lawrence","Unknown","24"
"2019","11a","St Lawrence","Total","999"
"2019","11a","St Lawrence","Under 1000","6"
"2019","11a","St Lawrence","1000-1499","9"
"2019","11a","St Lawrence","1500-1999","13"
"2019","11a","St Lawrence","2000-2499","49"
"2019","11a","St Lawrence","2500-2999","174"
"2019","11a","St Lawrence","3500+","400"
"2019","11a","Suffolk","Unknown","6"
"2019","11a","Suffolk","Total","15,001"
"2019","11a","Suffolk","3000-3499","5,817"
"2019","11a","Suffolk","2500-2999","2,801"
"2019","11a","Suffolk","2000-2499","773"
"2019","11a","Suffolk","1500-1999","251"
"2019","11a","Suffolk","1000-1499","99"
"2019","11a","Suffolk","Under 1000","75"
"2019","11a","Suffolk","3500+","5,179"
"2019","11a","Sullivan","3000-3499","330"
"2019","11a","Sullivan","Unknown","2"
"2019","11a","Sullivan","Total","877"
"2019","11a","Sullivan","Under 1000","3"
"2019","11a","Sullivan","1000-1499","9"
"2019","11a","Sullivan","1500-1999","17"
"2019","11a","Sullivan","2000-2499","53"
"2019","11a","Sullivan","2500-2999","162"
"2019","11a","Sullivan","3500+","301"
"2019","11a","Tioga","Total","474"
"2019","11a","Tioga","Under 1000","0"
"2019","11a","Tioga","1500-1999","5"
"2019","11a","Tioga","Unknown","3"
"2019","11a","Tioga","2000-2499","25"
"2019","11a","Tioga","2500-2999","70"
"2019","11a","Tioga","3000-3499","174"
"2019","11a","Tioga","3500+","194"
"2019","11a","Tioga","1000-1499","3"
"2019","11a","Tompkins","3500+","266"
"2019","11a","Tompkins","Unknown","0"
"2019","11a","Tompkins","3000-3499","291"
"2019","11a","Tompkins","2500-2999","114"
"2019","11a","Tompkins","2000-2499","23"
"2019","11a","Tompkins","1500-1999","4"
"2019","11a","Tompkins","1000-1499","1"
"2019","11a","Tompkins","Under 1000","2"
"2019","11a","Tompkins","Total","701"
"2019","11a","Ulster","2000-2499","83"
"2019","11a","Ulster","Total","1,520"
"2019","11a","Ulster","Unknown","4"
"2019","11a","Ulster","3500+","585"
"2019","11a","Ulster","3000-3499","555"
"2019","11a","Ulster","2500-2999","247"
"2019","11a","Ulster","1500-1999","22"
"2019","11a","Ulster","1000-1499","11"
"2019","11a","Ulster","Under 1000","13"
"2019","11a","Warren","Unknown","0"
"2019","11a","Warren","Total","533"
"2019","11a","Warren","Under 1000","5"
"2019","11a","Warren","1000-1499","4"
"2019","11a","Warren","1500-1999","9"
"2019","11a","Warren","2000-2499","19"
"2019","11a","Warren","2500-2999","97"
"2019","11a","Warren","3000-3499","207"
"2019","11a","Warren","3500+","192"
"2019","11a","Washington","Total","558"
"2019","11a","Washington","Unknown","1"
"2019","11a","Washington","3500+","225"
"2019","11a","Washington","3000-3499","204"
"2019","11a","Washington","2500-2999","83"
"2019","11a","Washington","2000-2499","32"
"2019","11a","Washington","1500-1999","9"
"2019","11a","Washington","1000-1499","2"
"2019","11a","Washington","Under 1000","2"
"2019","11a","Wayne","Total","887"
"2019","11a","Wayne","Unknown","1"
"2019","11a","Wayne","3500+","369"
"2019","11a","Wayne","3000-3499","323"
"2019","11a","Wayne","2500-2999","130"
"2019","11a","Wayne","2000-2499","42"
"2019","11a","Wayne","1500-1999","14"
"2019","11a","Wayne","1000-1499","3"
"2019","11a","Wayne","Under 1000","5"
"2019","11a","Westchester","Total","9,906"
"2019","11a","Westchester","Under 1000","65"
"2019","11a","Westchester","1000-1499","75"
"2019","11a","Westchester","1500-1999","134"
"2019","11a","Westchester","2000-2499","468"
"2019","11a","Westchester","2500-2999","1,954"
"2019","11a","Westchester","3000-3499","3,819"
"2019","11a","Westchester","3500+","3,385"
"2019","11a","Westchester","Unknown","6"
"2019","11a","Wyoming","Total","356"
"2019","11a","Wyoming","Unknown","0"
"2019","11a","Wyoming","3500+","149"
"2019","11a","Wyoming","3000-3499","127"
"2019","11a","Wyoming","2500-2999","46"
"2019","11a","Wyoming","2000-2499","23"
"2019","11a","Wyoming","1500-1999","6"
"2019","11a","Wyoming","1000-1499","3"
"2019","11a","Wyoming","Under 1000","2"
"2019","11a","Yates","Unknown","4"
"2019","11a","Yates","3500+","151"
"2019","11a","Yates","3000-3499","93"
"2019","11a","Yates","2500-2999","48"
"2019","11a","Yates","2000-2499","8"
"2019","11a","Yates","1500-1999","3"
"2019","11a","Yates","1000-1499","0"
"2019","11a","Yates","Under 1000","1"
"2019","11a","Yates","Total","308"
"2018","11a","Albany","Under 1000","17"
"2018","11a","Albany","Unknown","1"
"2018","11a","Albany","3500+","1,127"
"2018","11a","Albany","3000-3499","1,083"
"2018","11a","Albany","2500-2999","518"
"2018","11a","Albany","2000-2499","150"
"2018","11a","Albany","1500-1999","47"
"2018","11a","Albany","1000-1499","14"
"2018","11a","Albany","Total","2,957"
"2018","11a","Allegany","Unknown","9"
"2018","11a","Allegany","Total","469"
"2018","11a","Allegany","Under 1000","3"
"2018","11a","Allegany","1000-1499","1"
"2018","11a","Allegany","1500-1999","12"
"2018","11a","Allegany","2000-2499","18"
"2018","11a","Allegany","2500-2999","79"
"2018","11a","Allegany","3000-3499","178"
"2018","11a","Allegany","3500+","169"
"2018","11a","Bronx","3000-3499","7,806"
"2018","11a","Bronx","Unknown","2"
"2018","11a","Bronx","Total","19,778"
"2018","11a","Bronx","Under 1000","145"
"2018","11a","Bronx","1000-1499","202"
"2018","11a","Bronx","1500-1999","385"
"2018","11a","Bronx","2000-2499","1,208"
"2018","11a","Bronx","2500-2999","4,166"
"2018","11a","Bronx","3500+","5,864"
"2018","11a","Broome","Total","1,875"
"2018","11a","Broome","Unknown","2"
"2018","11a","Broome","3500+","715"
"2018","11a","Broome","3000-3499","697"
"2018","11a","Broome","2500-2999","315"
"2018","11a","Broome","2000-2499","98"
"2018","11a","Broome","1500-1999","25"
"2018","11a","Broome","1000-1499","14"
"2018","11a","Broome","Under 1000","9"
"2018","11a","Cattaraugus","Unknown","90"
"2018","11a","Cattaraugus","3500+","295"
"2018","11a","Cattaraugus","3000-3499","281"
"2018","11a","Cattaraugus","2500-2999","145"
"2018","11a","Cattaraugus","2000-2499","41"
"2018","11a","Cattaraugus","1500-1999","6"
"2018","11a","Cattaraugus","1000-1499","6"
"2018","11a","Cattaraugus","Under 1000","3"
"2018","11a","Cattaraugus","Total","867"
"2018","11a","Cayuga","Total","724"
"2018","11a","Cayuga","Unknown","0"
"2018","11a","Cayuga","3500+","316"
"2018","11a","Cayuga","3000-3499","247"
"2018","11a","Cayuga","2500-2999","109"
"2018","11a","Cayuga","2000-2499","39"
"2018","11a","Cayuga","1500-1999","7"
"2018","11a","Cayuga","1000-1499","4"
"2018","11a","Cayuga","Under 1000","2"
"2018","11a","Chautauqua","Unknown","26"
"2018","11a","Chautauqua","Total","1,304"
"2018","11a","Chautauqua","Under 1000","14"
"2018","11a","Chautauqua","1000-1499","9"
"2018","11a","Chautauqua","1500-1999","16"
"2018","11a","Chautauqua","2000-2499","77"
"2018","11a","Chautauqua","2500-2999","230"
"2018","11a","Chautauqua","3000-3499","481"
"2018","11a","Chautauqua","3500+","451"
"2018","11a","Chemung","Total","872"
"2018","11a","Chemung","Under 1000","5"
"2018","11a","Chemung","1000-1499","6"
"2018","11a","Chemung","1500-1999","16"
"2018","11a","Chemung","2000-2499","38"
"2018","11a","Chemung","2500-2999","163"
"2018","11a","Chemung","3000-3499","314"
"2018","11a","Chemung","3500+","327"
"2018","11a","Chemung","Unknown","3"
"2018","11a","Chenango","3500+","200"
"2018","11a","Chenango","3000-3499","160"
"2018","11a","Chenango","2500-2999","67"
"2018","11a","Chenango","2000-2499","19"
"2018","11a","Chenango","1500-1999","7"
"2018","11a","Chenango","1000-1499","3"
"2018","11a","Chenango","Under 1000","4"
"2018","11a","Chenango","Total","463"
"2018","11a","Chenango","Unknown","3"
"2018","11a","Clinton","Unknown","1"
"2018","11a","Clinton","3500+","302"
"2018","11a","Clinton","3000-3499","230"
"2018","11a","Clinton","2500-2999","116"
"2018","11a","Clinton","2000-2499","47"
"2018","11a","Clinton","1500-1999","14"
"2018","11a","Clinton","1000-1499","5"
"2018","11a","Clinton","Under 1000","4"
"2018","11a","Clinton","Total","719"
"2018","11a","Columbia","2000-2499","18"
"2018","11a","Columbia","Total","471"
"2018","11a","Columbia","Under 1000","1"
"2018","11a","Columbia","1000-1499","7"
"2018","11a","Columbia","1500-1999","4"
"2018","11a","Columbia","2500-2999","73"
"2018","11a","Columbia","3000-3499","152"
"2018","11a","Columbia","3500+","206"
"2018","11a","Columbia","Unknown","10"
"2018","11a","Cortland","Total","457"
"2018","11a","Cortland","Unknown","9"
"2018","11a","Cortland","3500+","167"
"2018","11a","Cortland","3000-3499","164"
"2018","11a","Cortland","2500-2999","79"
"2018","11a","Cortland","2000-2499","25"
"2018","11a","Cortland","1500-1999","7"
"2018","11a","Cortland","1000-1499","4"
"2018","11a","Cortland","Under 1000","2"
"2018","11a","Delaware","Unknown","0"
"2018","11a","Delaware","3500+","164"
"2018","11a","Delaware","3000-3499","141"
"2018","11a","Delaware","2500-2999","61"
"2018","11a","Delaware","2000-2499","20"
"2018","11a","Delaware","1500-1999","5"
"2018","11a","Delaware","1000-1499","3"
"2018","11a","Delaware","Under 1000","2"
"2018","11a","Delaware","Total","396"
"2018","11a","Dutchess","Unknown","1"
"2018","11a","Dutchess","Total","2,542"
"2018","11a","Dutchess","Under 1000","12"
"2018","11a","Dutchess","1000-1499","18"
"2018","11a","Dutchess","1500-1999","43"
"2018","11a","Dutchess","2000-2499","103"
"2018","11a","Dutchess","2500-2999","425"
"2018","11a","Dutchess","3000-3499","955"
"2018","11a","Dutchess","3500+","985"
"2018","11a","Erie","3500+","3,474"
"2018","11a","Erie","3000-3499","3,601"
"2018","11a","Erie","2500-2999","1,834"
"2018","11a","Erie","2000-2499","513"
"2018","11a","Erie","1500-1999","161"
"2018","11a","Erie","1000-1499","86"
"2018","11a","Erie","Under 1000","88"
"2018","11a","Erie","Total","9,794"
"2018","11a","Erie","Unknown","37"
"2018","11a","Essex","Unknown","0"
"2018","11a","Essex","3000-3499","117"
"2018","11a","Essex","2500-2999","48"
"2018","11a","Essex","2000-2499","17"
"2018","11a","Essex","1500-1999","4"
"2018","11a","Essex","1000-1499","4"
"2018","11a","Essex","Under 1000","1"
"2018","11a","Essex","Total","308"
"2018","11a","Essex","3500+","117"
"2018","11a","Franklin","1500-1999","8"
"2018","11a","Franklin","3500+","181"
"2018","11a","Franklin","3000-3499","162"
"2018","11a","Franklin","2500-2999","87"
"2018","11a","Franklin","2000-2499","23"
"2018","11a","Franklin","Unknown","2"
"2018","11a","Franklin","1000-1499","2"
"2018","11a","Franklin","Under 1000","2"
"2018","11a","Franklin","Total","467"
"2018","11a","Fulton","3000-3499","190"
"2018","11a","Fulton","Total","519"
"2018","11a","Fulton","Under 1000","0"
"2018","11a","Fulton","1000-1499","2"
"2018","11a","Fulton","1500-1999","13"
"2018","11a","Fulton","2000-2499","19"
"2018","11a","Fulton","2500-2999","78"
"2018","11a","Fulton","3500+","215"
"2018","11a","Fulton","Unknown","2"
"2018","11a","Genesee","Total","577"
"2018","11a","Genesee","Unknown","0"
"2018","11a","Genesee","3500+","253"
"2018","11a","Genesee","3000-3499","195"
"2018","11a","Genesee","2500-2999","89"
"2018","11a","Genesee","2000-2499","22"
"2018","11a","Genesee","1500-1999","12"
"2018","11a","Genesee","1000-1499","3"
"2018","11a","Genesee","Under 1000","3"
"2018","11a","Greene","Under 1000","2"
"2018","11a","Greene","1000-1499","3"
"2018","11a","Greene","1500-1999","3"
"2018","11a","Greene","Total","436"
"2018","11a","Greene","2000-2499","19"
"2018","11a","Greene","2500-2999","66"
"2018","11a","Greene","3000-3499","162"
"2018","11a","Greene","3500+","181"
"2018","11a","Greene","Unknown","0"
"2018","11a","Hamilton","Total","18"
"2018","11a","Hamilton","Unknown","0"
"2018","11a","Hamilton","3500+","8"
"2018","11a","Hamilton","3000-3499","9"
"2018","11a","Hamilton","2500-2999","0"
"2018","11a","Hamilton","2000-2499","1"
"2018","11a","Hamilton","1500-1999","0"
"2018","11a","Hamilton","1000-1499","0"
"2018","11a","Hamilton","Under 1000","0"
"2018","11a","Herkimer","Unknown","2"
"2018","11a","Herkimer","Total","588"
"2018","11a","Herkimer","Under 1000","0"
"2018","11a","Herkimer","1000-1499","2"
"2018","11a","Herkimer","1500-1999","8"
"2018","11a","Herkimer","2000-2499","29"
"2018","11a","Herkimer","2500-2999","80"
"2018","11a","Herkimer","3000-3499","201"
"2018","11a","Herkimer","3500+","266"
"2018","11a","Jefferson","Unknown","5"
"2018","11a","Jefferson","3500+","736"
"2018","11a","Jefferson","3000-3499","686"
"2018","11a","Jefferson","2500-2999","311"
"2018","11a","Jefferson","2000-2499","80"
"2018","11a","Jefferson","1500-1999","21"
"2018","11a","Jefferson","1000-1499","11"
"2018","11a","Jefferson","Under 1000","10"
"2018","11a","Jefferson","Total","1,860"
"2018","11a","Kings","3500+","12,022"
"2018","11a","Kings","Total","38,435"
"2018","11a","Kings","Under 1000","206"
"2018","11a","Kings","1000-1499","276"
"2018","11a","Kings","1500-1999","603"
"2018","11a","Kings","2000-2499","1,941"
"2018","11a","Kings","2500-2999","7,742"
"2018","11a","Kings","3000-3499","15,639"
"2018","11a","Kings","Unknown","6"
"2018","11a","Lewis","3500+","128"
"2018","11a","Lewis","Total","328"
"2018","11a","Lewis","Under 1000","3"
"2018","11a","Lewis","1000-1499","4"
"2018","11a","Lewis","1500-1999","6"
"2018","11a","Lewis","2000-2499","13"
"2018","11a","Lewis","2500-2999","47"
"2018","11a","Lewis","3000-3499","127"
"2018","11a","Lewis","Unknown","0"
"2018","11a","Livingston","Unknown","0"
"2018","11a","Livingston","Total","494"
"2018","11a","Livingston","Under 1000","7"
"2018","11a","Livingston","1000-1499","1"
"2018","11a","Livingston","1500-1999","7"
"2018","11a","Livingston","2000-2499","22"
"2018","11a","Livingston","2500-2999","62"
"2018","11a","Livingston","3000-3499","182"
"2018","11a","Livingston","3500+","213"
"2018","11a","Madison","Unknown","15"
"2018","11a","Madison","Total","655"
"2018","11a","Madison","Under 1000","2"
"2018","11a","Madison","1000-1499","5"
"2018","11a","Madison","1500-1999","14"
"2018","11a","Madison","2000-2499","30"
"2018","11a","Madison","2500-2999","108"
"2018","11a","Madison","3000-3499","230"
"2018","11a","Madison","3500+","251"
"2018","11a","Monroe","3500+","2,901"
"2018","11a","Monroe","Total","7,770"
"2018","11a","Monroe","Under 1000","70"
"2018","11a","Monroe","1000-1499","64"
"2018","11a","Monroe","1500-1999","145"
"2018","11a","Monroe","2000-2499","405"
"2018","11a","Monroe","2500-2999","1,338"
"2018","11a","Monroe","3000-3499","2,845"
"2018","11a","Monroe","Unknown","2"
"2018","11a","Montgomery","3500+","229"
"2018","11a","Montgomery","Total","609"
"2018","11a","Montgomery","Under 1000","2"
"2018","11a","Montgomery","1000-1499","6"
"2018","11a","Montgomery","1500-1999","6"
"2018","11a","Montgomery","2000-2499","25"
"2018","11a","Montgomery","2500-2999","81"
"2018","11a","Montgomery","3000-3499","241"
"2018","11a","Montgomery","Unknown","19"
"2018","11a","Nassau","Under 1000","60"
"2018","11a","Nassau","Unknown","2"
"2018","11a","Nassau","3500+","4,726"
"2018","11a","Nassau","3000-3499","5,638"
"2018","11a","Nassau","2500-2999","2,726"
"2018","11a","Nassau","2000-2499","685"
"2018","11a","Nassau","1500-1999","232"
"2018","11a","Nassau","1000-1499","104"
"2018","11a","Nassau","Total","14,173"
"2018","11a","New York","Total","16,654"
"2018","11a","New York","Unknown","1"
"2018","11a","New York","3500+","5,145"
"2018","11a","New York","3000-3499","6,752"
"2018","11a","New York","2500-2999","3,387"
"2018","11a","New York","2000-2499","882"
"2018","11a","New York","1500-1999","296"
"2018","11a","New York","1000-1499","121"
"2018","11a","New York","Under 1000","70"
"2018","11a","New York City","Total","107,821"
"2018","11a","New York City","Under 1000","619"
"2018","11a","New York City","1000-1499","817"
"2018","11a","New York City","1500-1999","1,826"
"2018","11a","New York City","2000-2499","5,862"
"2018","11a","New York City","2500-2999","22,149"
"2018","11a","New York City","3000-3499","43,639"
"2018","11a","New York City","3500+","32,899"
"2018","11a","New York City","Unknown","10"
"2018","11a","New York State","Unknown","365"
"2018","11a","New York State","3500+","76,376"
"2018","11a","New York State","3000-3499","87,880"
"2018","11a","New York State","2500-2999","42,426"
"2018","11a","New York State","2000-2499","11,494"
"2018","11a","New York State","1500-1999","3,651"
"2018","11a","New York State","1000-1499","1,641"
"2018","11a","New York State","Under 1000","1,329"
"2018","11a","New York State","Total","225,162"
"2018","11a","Niagara","Total","2,105"
"2018","11a","Niagara","Under 1000","17"
"2018","11a","Niagara","1000-1499","16"
"2018","11a","Niagara","1500-1999","47"
"2018","11a","Niagara","2000-2499","114"
"2018","11a","Niagara","2500-2999","367"
"2018","11a","Niagara","3000-3499","774"
"2018","11a","Niagara","3500+","766"
"2018","11a","Niagara","Unknown","4"
"2018","11a","Oneida","3000-3499","935"
"2018","11a","Oneida","Total","2,512"
"2018","11a","Oneida","Under 1000","14"
"2018","11a","Oneida","1000-1499","14"
"2018","11a","Oneida","1500-1999","33"
"2018","11a","Oneida","2000-2499","116"
"2018","11a","Oneida","2500-2999","442"
"2018","11a","Oneida","3500+","955"
"2018","11a","Oneida","Unknown","3"
"2018","11a","Onondaga","Total","5,236"
"2018","11a","Onondaga","Under 1000","39"
"2018","11a","Onondaga","1000-1499","39"
"2018","11a","Onondaga","1500-1999","84"
"2018","11a","Onondaga","Unknown","2"
"2018","11a","Onondaga","2000-2499","284"
"2018","11a","Onondaga","2500-2999","906"
"2018","11a","Onondaga","3000-3499","1,869"
"2018","11a","Onondaga","3500+","2,013"
"2018","11a","Ontario","2000-2499","42"
"2018","11a","Ontario","Unknown","2"
"2018","11a","Ontario","3500+","439"
"2018","11a","Ontario","3000-3499","311"
"2018","11a","Ontario","2500-2999","150"
"2018","11a","Ontario","1500-1999","14"
"2018","11a","Ontario","1000-1499","11"
"2018","11a","Ontario","Under 1000","8"
"2018","11a","Ontario","Total","977"
"2018","11a","Orange","Unknown","6"
"2018","11a","Orange","Total","5,072"
"2018","11a","Orange","Under 1000","25"
"2018","11a","Orange","1000-1499","29"
"2018","11a","Orange","1500-1999","73"
"2018","11a","Orange","2000-2499","206"
"2018","11a","Orange","2500-2999","884"
"2018","11a","Orange","3000-3499","1,993"
"2018","11a","Orange","3500+","1,856"
"2018","11a","Orleans","2500-2999","53"
"2018","11a","Orleans","Unknown","0"
"2018","11a","Orleans","3500+","154"
"2018","11a","Orleans","3000-3499","115"
"2018","11a","Orleans","2000-2499","14"
"2018","11a","Orleans","1500-1999","8"
"2018","11a","Orleans","1000-1499","3"
"2018","11a","Orleans","Under 1000","1"
"2018","11a","Orleans","Total","348"
"2018","11a","Oswego","Unknown","7"
"2018","11a","Oswego","Under 1000","3"
"2018","11a","Oswego","1000-1499","5"
"2018","11a","Oswego","1500-1999","20"
"2018","11a","Oswego","2000-2499","45"
"2018","11a","Oswego","2500-2999","163"
"2018","11a","Oswego","3000-3499","423"
"2018","11a","Oswego","3500+","544"
"2018","11a","Oswego","Total","1,210"
"2018","11a","Otsego","1000-1499","3"
"2018","11a","Otsego","Total","501"
"2018","11a","Otsego","Under 1000","0"
"2018","11a","Otsego","1500-1999","7"
"2018","11a","Otsego","2000-2499","21"
"2018","11a","Otsego","2500-2999","72"
"2018","11a","Otsego","3000-3499","167"
"2018","11a","Otsego","3500+","218"
"2018","11a","Otsego","Unknown","13"
"2018","11a","Putnam","Unknown","0"
"2018","11a","Putnam","Total","844"
"2018","11a","Putnam","1000-1499","11"
"2018","11a","Putnam","1500-1999","16"
"2018","11a","Putnam","2000-2499","27"
"2018","11a","Putnam","2500-2999","131"
"2018","11a","Putnam","3000-3499","347"
"2018","11a","Putnam","Under 1000","5"
"2018","11a","Putnam","3500+","307"
"2018","11a","Queens","Under 1000","171"
"2018","11a","Queens","Total","27,865"
"2018","11a","Queens","Unknown","1"
"2018","11a","Queens","3500+","8,303"
"2018","11a","Queens","3000-3499","11,376"
"2018","11a","Queens","2500-2999","5,820"
"2018","11a","Queens","2000-2499","1,542"
"2018","11a","Queens","1500-1999","468"
"2018","11a","Queens","1000-1499","184"
"2018","11a","Rensselaer","Unknown","4"
"2018","11a","Rensselaer","Total","1,587"
"2018","11a","Rensselaer","Under 1000","16"
"2018","11a","Rensselaer","1000-1499","9"
"2018","11a","Rensselaer","1500-1999","19"
"2018","11a","Rensselaer","2000-2499","67"
"2018","11a","Rensselaer","2500-2999","263"
"2018","11a","Rensselaer","3000-3499","579"
"2018","11a","Rensselaer","3500+","630"
"2018","11a","Rest of State","1000-1499","824"
"2018","11a","Rest of State","Total","117,341"
"2018","11a","Rest of State","3500+","43,477"
"2018","11a","Rest of State","3000-3499","44,241"
"2018","11a","Rest of State","Unknown","355"
"2018","11a","Rest of State","2500-2999","20,277"
"2018","11a","Rest of State","2000-2499","5,632"
"2018","11a","Rest of State","1500-1999","1,825"
"2018","11a","Rest of State","Under 1000","710"
"2018","11a","Richmond","Unknown","0"
"2018","11a","Richmond","Total","5,089"
"2018","11a","Richmond","Under 1000","27"
"2018","11a","Richmond","1000-1499","34"
"2018","11a","Richmond","1500-1999","74"
"2018","11a","Richmond","2000-2499","289"
"2018","11a","Richmond","2500-2999","1,034"
"2018","11a","Richmond","3000-3499","2,066"
"2018","11a","Richmond","3500+","1,565"
"2018","11a","Rockland","Total","5,725"
"2018","11a","Rockland","Under 1000","15"
"2018","11a","Rockland","1000-1499","32"
"2018","11a","Rockland","1500-1999","61"
"2018","11a","Rockland","2000-2499","214"
"2018","11a","Rockland","2500-2999","927"
"2018","11a","Rockland","3000-3499","2,288"
"2018","11a","Rockland","3500+","2,187"
"2018","11a","Rockland","Unknown","1"
"2018","11a","Saratoga","Total","2,025"
"2018","11a","Saratoga","Unknown","2"
"2018","11a","Saratoga","3500+","865"
"2018","11a","Saratoga","3000-3499","758"
"2018","11a","Saratoga","2500-2999","280"
"2018","11a","Saratoga","2000-2499","79"
"2018","11a","Saratoga","1500-1999","25"
"2018","11a","Saratoga","1000-1499","9"
"2018","11a","Saratoga","Under 1000","7"
"2018","11a","Schenectady","3500+","659"
"2018","11a","Schenectady","Total","1,768"
"2018","11a","Schenectady","Unknown","1"
"2018","11a","Schenectady","Under 1000","18"
"2018","11a","Schenectady","1000-1499","21"
"2018","11a","Schenectady","1500-1999","31"
"2018","11a","Schenectady","2000-2499","105"
"2018","11a","Schenectady","2500-2999","307"
"2018","11a","Schenectady","3000-3499","626"
"2018","11a","Schoharie","Under 1000","2"
"2018","11a","Schoharie","Total","285"
"2018","11a","Schoharie","1000-1499","2"
"2018","11a","Schoharie","1500-1999","1"
"2018","11a","Schoharie","2000-2499","9"
"2018","11a","Schoharie","2500-2999","55"
"2018","11a","Schoharie","3000-3499","90"
"2018","11a","Schoharie","3500+","126"
"2018","11a","Schoharie","Unknown","0"
